"","X","annual_income_ppp","average_wk_hrs","education_months","family_size","work_distance","languages"
"989",989,43608,50,117,1,1,1
"990",990,42059,50,99,2,0,1
"991",991,40508,50,108,2,0,1
"992",992,39623,50,104,2,1,1
"993",993,38737,50,99,2,1,1
"994",994,38737,51,96,2,0,1
"996",996,68632,42,159,3,0,1
"997",997,68411,42,159,3,0,1
"998",998,68189,43,163,4,0,1
"999",999,67746,43,159,4,0,1
"1000",1000,68411,43,158,4,0,1
"1001",1001,68854,43,162,4,0,1
"1002",1002,69297,54,164,4,0,1
"1003",1003,67968,54,170,4,0,1
"1004",1004,66860,44,176,3,0,1
"1005",1005,66417,44,172,3,0,1
"1006",1006,66639,44,170,3,0,1
"1007",1007,67082,44,169,3,0,1
"1008",1008,67082,45,168,3,0,1
"1009",1009,67303,45,166,3,0,1
"1010",1010,67303,45,166,3,0,1
"1012",1012,62210,41,146,4,0,1
"1013",1013,61324,42,146,5,0,1
"1014",1014,60438,42,143,6,0,1
"1015",1015,60438,42,141,1,0,1
"1016",1016,2863,43,140,5,1,1
"1017",1017,60881,43,139,4,0,1
"1018",1018,59995,43,137,3,0,1
"1019",1019,59332,54,137,3,1,1
"1020",1020,57781,44,136,3,0,1
"1021",1021,66417,44,135,2,0,1
"1022",1022,52467,44,134,3,1,1
"1023",1023,54681,45,134,3,1,1
"1024",1024,53795,45,133,3,1,1
"1025",1025,52910,45,132,3,1,1
"1026",1026,52245,46,130,4,0,1
"1028",1028,87455,54,172,5,0,1
"1029",1029,87012,41,174,5,1,1
"1030",1030,86569,41,174,6,0,1
"1031",1031,86126,42,176,5,0,1
"1032",1032,85462,42,173,5,1,1
"1033",1033,85019,42,171,5,0,1
"1034",1034,84576,42,169,5,1,1
"1035",1035,84133,43,166,4,0,1
"1036",1036,83690,43,165,4,0,1
"1037",1037,83025,43,163,4,0,1
"1038",1038,82361,43,161,4,0,1
"1039",1039,81697,43,159,5,0,1
"1040",1040,81033,54,157,4,1,1
"1041",1041,80368,44,155,4,0,1
"1042",1042,79704,44,154,4,1,1
"1044",1044,89890,37,223,4,1,1
"1045",1045,89669,37,219,4,0,1
"1046",1046,88562,37,219,4,0,1
"1047",1047,88119,37,219,4,1,1
"1048",1048,87455,37,217,4,0,1
"1049",1049,86790,38,217,4,0,1
"1050",1050,86569,54,217,4,0,1
"1051",1051,85241,38,217,4,0,1
"1052",1052,85019,38,216,5,0,1
"1053",1053,83912,38,214,5,0,1
"1054",1054,83912,38,217,5,0,1
"1055",1055,83025,39,213,5,0,1
"1056",1056,83025,39,209,4,0,1
"1057",1057,82582,39,205,4,0,1
"1058",1058,81254,39,201,4,0,1
"1060",1060,105170,53,260,5,0,1
"1061",1061,104949,54,260,5,0,1
"1062",1062,105170,38,257,5,0,1
"1063",1063,104285,38,256,5,0,1
"1064",1064,103620,38,253,5,0,1
"1065",1065,103177,38,253,5,0,1
"1066",1066,102734,38,251,5,0,1
"1067",1067,102513,39,251,5,0,1
"1068",1068,102069,39,250,5,0,1
"1069",1069,101848,39,248,5,0,1
"1070",1070,117350,39,252,5,0,1
"1071",1071,115135,39,244,1,0,1
"1072",1072,108491,39,239,6,0,1
"1073",1073,99634,39,238,5,0,1
"1074",1074,98969,40,235,5,0,1
"1076",1076,73060,50,174,3,105,5
"1077",1077,72175,50,173,2,10,1
"1078",1078,71511,50,171,2,10,1
"1079",1079,70403,51,165,2,10,1
"1080",1080,69517,51,161,2,1,1
"1081",1081,68632,51,162,2,10,1
"1082",1082,67525,51,158,2,10,1
"1083",1083,66860,51,155,2,96,5
"1084",1084,65975,51,152,2,94,5
"1085",1085,65089,51,149,2,93,5
"1086",1086,64203,52,147,2,91,4
"1087",1087,63538,52,140,2,1,1
"1088",1088,62653,52,137,2,2,1
"1089",1089,61767,52,136,2,14,2
"1090",1090,60881,52,136,2,0,1
"1092",1092,75054,48,190,1,21,2
"1093",1093,74611,48,190,2,2,1
"1094",1094,74168,48,186,1,20,2
"1095",1095,73725,48,183,1,2,1
"1096",1096,73282,49,180,1,20,2
"1097",1097,72839,49,176,1,2,1
"1098",1098,72397,49,176,1,19,2
"1099",1099,71954,55,168,2,19,2
"1100",1100,71511,50,166,2,2,1
"1101",1101,71289,50,169,1,2,1
"1102",1102,67082,50,168,1,18,2
"1103",1103,70625,50,165,1,2,1
"1104",1104,70182,51,163,1,0,1
"1105",1105,69739,51,163,1,0,1
"1106",1106,69297,51,164,1,2,1
"1108",1108,72839,38,157,3,0,1
"1109",1109,76382,39,159,3,3,1
"1110",1110,90776,39,162,3,3,1
"1111",1111,92990,39,161,2,0,1
"1112",1112,90776,39,161,2,0,1
"1113",1113,86347,39,159,3,2,1
"1114",1114,75939,40,159,2,2,1
"1115",1115,68411,40,158,2,0,1
"1116",1116,65754,40,158,2,2,1
"1117",1117,70403,40,157,2,0,1
"1118",1118,71289,40,154,3,0,1
"1119",1119,69739,40,149,2,2,1
"1124",1124,102291,37,256,4,0,1
"1125",1125,101848,38,256,5,0,1
"1126",1126,110707,54,254,5,0,1
"1127",1127,108491,38,254,5,0,1
"1128",1128,112921,38,251,5,0,1
"1129",1129,98969,38,248,5,0,1
"1130",1130,99191,39,248,5,0,1
"1131",1131,98526,39,244,4,0,1
"1132",1132,97420,39,244,4,0,1
"1133",1133,96755,39,243,4,0,1
"1134",1134,95869,40,238,4,0,1
"1135",1135,95206,40,235,4,0,1
"1136",1136,93877,40,231,4,0,1
"1137",1137,92990,40,230,4,0,1
"1138",1138,91662,40,228,4,0,1
"1140",1140,104506,37,226,4,0,1
"1141",1141,104285,37,224,4,0,1
"1142",1142,103620,37,224,4,0,1
"1143",1143,103620,37,223,4,0,1
"1144",1144,103399,37,222,4,0,1
"1145",1145,102956,37,221,4,0,1
"1146",1146,101848,37,223,4,0,1
"1147",1147,108491,37,222,4,0,1
"1148",1148,108491,38,222,4,0,1
"1149",1149,99634,53,223,4,0,1
"1150",1150,101848,54,224,4,0,1
"1151",1151,98969,38,226,4,0,1
"1152",1152,98084,38,217,4,0,1
"1153",1153,98084,38,215,4,0,1
"1154",1154,97198,38,216,4,0,1
"1156",1156,105170,37,229,5,0,1
"1157",1157,104728,37,231,5,1,1
"1158",1158,104063,37,232,5,5,1
"1159",1159,104063,38,230,5,5,1
"1160",1160,103620,38,230,5,5,1
"1161",1161,103177,54,229,5,0,1
"1162",1162,102956,38,229,5,5,1
"1163",1163,102513,38,227,5,0,1
"1164",1164,102291,38,226,5,5,1
"1165",1165,117350,38,223,5,5,1
"1166",1166,119564,39,221,5,5,1
"1167",1167,99412,39,219,5,0,1
"1168",1168,99634,39,216,5,0,1
"1169",1169,99191,39,213,5,0,1
"1170",1170,98306,39,212,4,0,1
"1172",1172,90333,40,188,3,0,1
"1173",1173,89890,40,188,3,0,1
"1174",1174,89226,40,188,3,0,1
"1175",1175,89004,41,188,3,0,1
"1176",1176,88562,54,187,3,0,1
"1177",1177,87898,41,187,3,0,1
"1178",1178,87455,41,186,3,0,1
"1179",1179,86790,41,185,3,0,1
"1180",1180,86347,42,185,2,0,1
"1181",1181,85241,42,184,3,0,1
"1182",1182,84798,42,169,3,0,1
"1183",1183,84355,42,178,2,0,1
"1184",1184,84133,43,176,3,0,1
"1185",1185,83468,43,166,3,0,1
"1186",1186,83247,43,172,3,0,1
"1188",1188,107385,47,217,1,0,1
"1189",1189,107385,47,217,1,0,1
"1190",1190,106942,47,217,0,0,1
"1191",1191,105170,47,215,1,0,1
"1192",1192,106277,48,215,5,0,1
"1193",1193,106277,48,214,5,0,1
"1194",1194,105613,48,214,5,0,1
"1195",1195,105391,48,214,5,0,1
"1196",1196,104949,48,213,5,0,1
"1197",1197,104063,48,213,5,0,1
"1198",1198,104285,48,212,5,0,1
"1199",1199,103842,49,212,5,0,1
"1200",1200,103620,49,210,4,0,1
"1201",1201,102956,49,209,4,0,1
"1202",1202,102069,49,208,4,0,1
"1204",1204,86347,37,192,4,0,1
"1205",1205,86126,37,192,4,1,1
"1206",1206,85683,37,190,5,1,1
"1207",1207,85462,37,192,5,1,1
"1208",1208,85019,37,193,5,0,1
"1209",1209,84798,53,198,5,1,1
"1210",1210,84355,54,198,5,1,1
"1211",1211,84133,38,198,5,1,1
"1212",1212,83690,38,199,5,0,1
"1213",1213,82804,39,200,5,0,1
"1214",1214,83025,39,197,5,0,1
"1215",1215,82582,39,193,5,0,1
"1216",1216,82140,39,191,6,0,1
"1217",1217,81697,39,187,6,0,1
"1218",1218,81254,40,186,6,0,1
"1220",1220,77268,40,214,2,1,1
"1221",1221,76382,40,214,2,0,1
"1222",1222,75497,54,210,2,1,1
"1223",1223,74168,41,207,3,0,1
"1224",1224,72617,41,208,2,1,1
"1225",1225,72617,41,209,2,0,1
"1226",1226,69960,41,209,2,0,1
"1227",1227,67082,42,210,2,1,1
"1228",1228,66417,42,206,2,0,1
"1229",1229,65532,42,201,3,0,1
"1230",1230,65754,42,197,2,0,1
"1231",1231,65089,42,192,2,0,1
"1232",1232,65754,42,187,2,1,1
"1233",1233,65089,42,183,2,1,1
"1234",1234,63981,43,180,2,1,1
"1236",1236,61767,49,169,3,0,1
"1237",1237,61103,55,169,3,4,1
"1238",1238,59995,55,169,3,4,1
"1239",1239,58003,50,169,3,3,1
"1240",1240,61989,50,169,2,0,1
"1241",1241,53352,50,164,2,0,1
"1242",1242,50695,50,161,2,3,1
"1243",1243,48259,50,157,3,0,1
"1244",1244,44937,50,152,2,0,1
"1245",1245,42280,51,151,2,0,1
"1246",1246,39845,51,143,2,0,1
"1247",1247,38515,51,135,2,0,1
"1248",1248,37851,51,139,2,0,1
"1249",1249,37408,51,137,3,3,1
"1250",1250,37408,51,137,3,0,1
"1252",1252,68854,33,178,0,0,1
"1253",1253,68189,33,178,0,0,1
"1254",1254,67968,33,178,1,0,1
"1255",1255,67525,33,178,1,0,1
"1256",1256,67082,34,178,1,0,1
"1257",1257,66860,34,178,7,0,1
"1258",1258,66639,34,174,7,0,1
"1259",1259,66417,34,177,8,0,1
"1260",1260,66417,34,180,1,0,1
"1261",1261,66195,34,181,1,0,1
"1262",1262,65975,35,184,1,0,1
"1263",1263,65754,53,174,6,0,1
"1264",1264,65532,35,176,5,0,1
"1265",1265,64867,35,161,5,0,1
"1266",1266,64424,36,156,5,0,1
"1300",1300,87233,53,226,3,0,1
"1301",1301,86569,54,219,3,0,1
"1302",1302,85904,38,220,3,0,1
"1303",1303,85462,38,223,3,0,1
"1304",1304,83690,38,226,4,0,1
"1305",1305,83247,38,230,4,0,1
"1306",1306,81697,38,229,4,0,1
"1307",1307,95206,39,228,4,0,1
"1308",1308,88562,39,228,4,0,1
"1309",1309,90776,39,224,4,0,1
"1310",1310,79704,39,220,4,0,1
"1311",1311,95206,39,216,3,0,1
"1312",1312,84133,39,212,4,0,1
"1313",1313,77268,39,205,3,0,1
"1314",1314,79704,39,199,3,0,1
"1316",1316,88119,36,194,4,0,1
"1317",1317,88341,37,194,4,0,1
"1318",1318,88562,37,194,4,0,1
"1319",1319,88562,37,193,4,0,1
"1320",1320,88341,37,194,4,0,1
"1321",1321,87898,37,193,4,0,1
"1322",1322,87455,37,192,5,0,1
"1323",1323,87233,37,190,5,0,1
"1324",1324,86569,38,193,5,0,1
"1325",1325,86126,53,199,5,0,1
"1326",1326,85683,54,205,5,0,1
"1327",1327,85241,38,212,5,0,1
"1328",1328,84576,38,216,1,0,1
"1329",1329,84133,38,214,1,0,1
"1330",1330,83468,39,213,1,0,1
"1332",1332,37851,46,165,1,0,1
"1333",1333,37851,46,169,7,0,1
"1334",1334,38072,54,168,6,0,1
"1335",1335,38294,54,168,7,0,1
"1336",1336,35637,47,166,1,0,1
"1337",1337,31872,47,165,6,0,1
"1338",1338,28329,47,164,5,0,1
"1339",1339,24786,47,163,5,0,1
"1340",1340,22793,47,164,4,0,1
"1341",1341,21021,47,164,4,0,1
"1342",1342,21686,48,164,4,0,1
"1343",1343,23236,48,162,4,0,1
"1344",1344,25229,48,161,4,0,1
"1345",1345,28329,48,159,4,0,1
"1346",1346,31651,48,151,4,0,1
"1348",1348,51138,48,155,1,0,1
"1349",1349,57781,48,154,5,0,1
"1350",1350,70846,48,151,0,0,1
"1351",1351,59774,48,150,6,0,1
"1352",1352,54681,48,151,7,0,1
"1353",1353,53573,48,152,8,0,1
"1354",1354,52245,49,154,7,0,1
"1355",1355,50695,49,155,1,0,1
"1356",1356,48038,49,156,1,0,1
"1357",1357,44937,49,157,5,0,1
"1358",1358,42059,49,158,5,0,1
"1359",1359,33201,49,159,2,0,1
"1360",1360,46488,55,161,3,0,1
"1361",1361,36523,55,162,4,0,1
"1362",1362,37408,55,141,3,0,1
"1380",1380,85019,37,231,4,0,1
"1381",1381,84133,38,230,4,0,1
"1382",1382,84133,53,231,4,0,1
"1383",1383,83690,54,234,4,0,1
"1384",1384,82804,54,235,4,0,1
"1385",1385,82361,38,232,4,0,1
"1386",1386,79925,38,231,4,0,1
"1387",1387,81919,38,230,3,0,1
"1388",1388,90776,38,230,3,0,1
"1389",1389,95206,38,228,3,0,1
"1390",1390,81033,38,229,3,0,1
"1391",1391,81033,39,223,4,0,1
"1392",1392,80590,39,217,4,0,1
"1393",1393,80147,39,210,3,0,1
"1394",1394,81033,39,202,4,0,1
"1396",1396,103399,53,201,4,0,1
"1397",1397,102734,54,201,4,0,1
"1398",1398,102069,54,201,4,0,1
"1399",1399,117350,38,201,4,0,1
"1400",1400,112921,38,199,4,0,1
"1401",1401,106277,38,197,5,0,1
"1402",1402,99634,38,197,4,0,1
"1403",1403,98969,39,197,4,0,1
"1404",1404,98306,39,197,4,0,1
"1405",1405,96977,39,197,4,0,1
"1406",1406,96755,39,197,5,0,1
"1407",1407,96534,39,198,4,0,1
"1408",1408,95869,39,197,5,0,1
"1409",1409,95206,40,195,4,0,1
"1410",1410,94763,40,197,4,0,1
"1412",1412,66639,55,159,2,0,1
"1413",1413,65754,50,159,2,2,1
"1414",1414,64867,50,158,2,2,1
"1415",1415,63760,50,158,2,2,1
"1416",1416,62653,50,158,3,0,1
"1417",1417,61546,50,152,3,0,1
"1418",1418,60438,50,149,2,2,1
"1419",1419,59553,51,146,3,2,1
"1420",1420,58446,51,144,3,0,1
"1421",1421,75276,51,143,3,1,1
"1422",1422,64203,51,141,3,0,1
"1423",1423,55124,51,139,3,1,1
"1424",1424,53795,51,136,3,1,1
"1425",1425,52467,51,135,3,0,1
"1426",1426,50695,51,133,3,0,1
"1428",1428,50030,50,164,7,0,1
"1429",1429,48038,50,164,1,1,1
"1430",1430,44937,50,164,7,0,1
"1431",1431,42280,50,163,7,1,1
"1432",1432,39623,50,158,1,0,1
"1433",1433,36523,50,155,0,0,1
"1434",1434,33201,50,151,1,1,1
"1435",1435,29880,51,152,5,0,1
"1436",1436,26779,51,151,5,1,1
"1437",1437,24343,51,152,5,0,1
"1438",1438,22350,51,156,4,0,1
"1439",1439,21242,51,159,4,1,1
"1440",1440,19914,51,161,3,0,1
"1441",1441,18807,51,157,3,1,1
"1442",1442,17921,51,164,4,1,1
"1444",1444,88119,44,191,2,0,1
"1445",1445,87676,44,190,2,0,1
"1446",1446,87455,45,190,2,0,1
"1447",1447,87012,45,191,2,2,1
"1448",1448,86569,45,188,2,2,1
"1449",1449,86347,45,186,2,0,1
"1450",1450,85904,46,185,2,0,1
"1451",1451,85683,46,183,2,2,1
"1452",1452,85462,46,187,2,2,1
"1453",1453,85019,54,190,2,2,1
"1454",1454,84576,47,187,2,0,1
"1455",1455,84355,47,180,2,0,1
"1456",1456,83912,47,179,2,2,1
"1457",1457,83468,48,178,2,0,1
"1458",1458,82804,48,174,2,0,1
"1460",1460,95648,48,187,8,0,1
"1461",1461,94984,48,184,6,0,1
"1462",1462,94320,48,180,5,0,1
"1463",1463,93655,49,177,5,0,1
"1464",1464,92326,49,174,4,0,1
"1465",1465,91441,49,177,5,0,1
"1466",1466,90555,55,177,5,0,1
"1467",1467,89447,50,178,4,0,1
"1468",1468,88562,50,179,4,0,1
"1469",1469,87012,50,180,5,0,1
"1470",1470,85019,50,181,3,0,1
"1471",1471,83468,51,177,3,0,1
"1472",1472,81476,51,179,3,0,1
"1473",1473,95206,51,177,3,0,1
"1474",1474,76604,51,171,5,0,1
"1476",1476,50473,49,135,4,1,1
"1477",1477,49367,49,133,4,1,1
"1478",1478,49145,49,129,4,0,1
"1479",1479,48259,49,127,4,0,1
"1480",1480,47594,55,125,4,0,1
"1481",1481,46488,55,122,4,0,1
"1482",1482,45380,50,107,4,1,1
"1483",1483,44273,50,114,4,0,1
"1484",1484,42723,50,111,4,0,1
"1485",1485,41173,50,107,4,1,1
"1486",1486,39402,50,104,4,0,1
"1487",1487,37629,50,100,3,0,1
"1488",1488,35858,51,97,4,1,1
"1489",1489,44273,51,93,4,1,1
"1490",1490,32758,51,91,4,0,1
"1492",1492,102734,35,206,6,0,1
"1493",1493,102069,35,205,6,0,1
"1494",1494,101848,36,203,6,0,1
"1495",1495,115135,36,212,5,0,1
"1496",1496,106277,36,209,5,0,1
"1497",1497,104063,36,207,5,0,1
"1498",1498,99634,36,209,5,0,1
"1499",1499,98748,36,207,5,0,1
"1500",1500,98084,36,212,5,0,1
"1501",1501,97420,36,212,5,0,1
"1502",1502,96755,37,205,5,0,1
"1503",1503,96312,37,200,5,0,1
"1504",1504,95648,37,200,4,0,1
"1505",1505,94763,37,199,4,0,1
"1506",1506,94098,37,200,4,0,1
"1509",1509,61989,55,139,2,0,1
"1510",1510,61324,47,135,2,0,1
"1511",1511,60881,47,130,2,0,1
"1512",1512,60217,47,129,1,0,1
"1513",1513,59774,47,128,2,0,1
"1514",1514,59110,48,122,2,0,1
"1515",1515,58446,48,123,2,0,1
"1516",1516,58003,48,126,2,0,1
"1517",1517,75276,48,123,2,0,1
"1518",1518,68632,48,123,2,0,1
"1519",1519,64203,49,118,3,0,1
"1520",1520,61989,49,117,2,0,1
"1521",1521,59774,49,115,3,0,1
"1522",1522,57560,49,115,2,0,1
"1523",1523,55345,49,114,3,0,1
"1525",1525,86790,46,210,3,0,1
"1526",1526,86569,46,210,3,0,1
"1527",1527,86126,46,206,3,0,1
"1528",1528,85462,46,203,3,0,1
"1529",1529,84798,54,202,3,0,1
"1530",1530,83690,54,200,3,0,1
"1531",1531,83468,47,198,3,0,1
"1532",1532,83912,47,197,2,0,1
"1533",1533,81476,47,195,2,0,1
"1534",1534,82140,47,191,2,0,1
"1535",1535,81697,47,188,2,0,1
"1536",1536,80811,48,186,2,0,1
"1537",1537,80811,48,185,2,0,1
"1538",1538,80811,48,181,2,0,1
"1539",1539,79704,48,180,2,0,1
"1541",1541,92104,37,192,4,0,1
"1542",1542,92104,37,190,4,10,1
"1543",1543,91441,38,187,3,0,1
"1544",1544,90998,53,186,4,0,1
"1545",1545,89890,54,185,4,10,1
"1546",1546,90112,38,185,4,1,1
"1547",1547,89890,38,183,4,1,1
"1548",1548,90776,39,183,3,9,1
"1549",1549,90333,39,181,3,0,1
"1550",1550,89226,39,181,4,1,1
"1551",1551,89447,39,180,3,1,1
"1552",1552,88562,39,178,3,0,1
"1553",1553,88562,40,174,3,0,1
"1554",1554,88562,40,174,3,0,1
"1555",1555,88119,40,172,3,1,1
"1574",1574,73946,40,212,3,0,1
"1575",1575,73282,54,210,2,0,1
"1576",1576,72617,41,210,2,0,1
"1577",1577,71511,41,209,2,0,1
"1578",1578,69297,42,206,3,0,1
"1579",1579,70625,42,200,3,0,1
"1580",1580,71732,42,195,3,0,1
"1581",1581,68411,43,191,3,0,1
"1582",1582,66417,43,187,3,0,1
"1583",1583,65311,43,177,3,0,1
"1584",1584,64203,43,170,3,0,1
"1585",1585,64203,54,162,3,0,1
"1586",1586,63760,44,157,3,0,1
"1587",1587,62432,44,149,3,0,1
"1588",1588,61546,44,143,3,0,1
"1590",1590,90555,38,215,4,0,1
"1591",1591,90333,53,215,4,0,1
"1592",1592,89890,54,215,4,0,1
"1593",1593,89447,38,215,4,0,1
"1594",1594,89226,38,214,4,0,1
"1595",1595,88562,38,209,4,0,1
"1596",1596,87676,39,205,3,0,1
"1597",1597,86790,39,198,4,0,1
"1598",1598,85904,39,193,5,0,1
"1599",1599,85462,39,188,5,0,1
"1600",1600,85241,39,186,5,0,1
"1601",1601,85241,40,40,5,0,1
"1602",1602,85019,40,40,5,0,1
"1603",1603,84798,40,40,5,0,1
"1604",1604,84133,40,40,4,0,1
"1606",1606,86569,39,180,3,0,1
"1607",1607,86126,39,180,3,3,1
"1608",1608,85462,39,174,3,3,1
"1609",1609,84798,40,170,3,3,1
"1610",1610,83690,40,164,3,0,1
"1611",1611,82582,40,162,3,3,1
"1612",1612,81476,40,159,3,3,1
"1613",1613,80590,54,156,3,3,1
"1614",1614,79704,41,156,3,0,1
"1615",1615,92990,41,154,3,0,1
"1616",1616,81919,41,151,3,0,1
"1617",1617,77268,42,148,3,2,1
"1618",1618,76382,42,142,3,2,1
"1619",1619,75276,42,139,2,2,1
"1620",1620,74389,42,133,2,2,1
"1622",1622,48038,49,146,4,2,1
"1623",1623,44937,49,146,3,2,1
"1624",1624,43830,49,147,3,0,1
"1625",1625,42723,55,150,3,0,1
"1626",1626,42059,55,148,3,0,1
"1627",1627,41616,55,147,3,0,1
"1628",1628,40287,50,142,3,2,1
"1629",1629,37851,50,135,3,2,1
"1630",1630,35858,50,132,4,2,1
"1631",1631,50916,50,125,4,0,1
"1632",1632,42059,50,121,3,0,1
"1633",1633,35415,50,118,4,2,1
"1634",1634,32758,50,112,4,2,1
"1635",1635,32094,50,107,3,2,1
"1636",1636,30986,51,103,3,0,1
"1638",1638,69517,49,146,1,4,1
"1639",1639,69075,49,146,1,4,1
"1640",1640,68411,49,146,1,0,1
"1641",1641,67746,55,146,1,0,1
"1642",1642,67303,50,142,1,0,1
"1643",1643,66860,50,139,1,0,1
"1644",1644,53573,50,135,1,4,1
"1645",1645,65311,50,134,1,4,1
"1646",1646,64646,50,133,1,4,1
"1647",1647,63981,51,132,1,4,1
"1648",1648,63095,51,130,1,0,1
"1649",1649,62432,51,129,1,4,1
"1650",1650,61546,51,128,1,0,1
"1651",1651,60881,51,128,1,4,1
"1652",1652,59995,51,127,1,0,1
"1654",1654,68411,45,176,5,0,1
"1655",1655,68854,45,174,5,0,1
"1656",1656,68189,46,173,5,0,1
"1657",1657,64867,46,173,5,0,1
"1658",1658,61989,46,172,4,0,1
"1659",1659,60660,46,172,5,0,1
"1660",1660,59110,54,171,4,0,1
"1661",1661,55345,47,171,4,0,1
"1662",1662,48702,47,172,4,0,1
"1663",1663,44494,47,174,4,0,1
"1664",1664,43608,47,176,4,0,1
"1665",1665,44273,48,176,4,0,1
"1666",1666,45823,48,177,3,0,1
"1667",1667,47594,48,176,3,0,1
"1668",1668,49588,48,173,3,0,1
"1671",1671,76604,50,184,3,2,1
"1672",1672,75939,50,183,3,0,1
"1673",1673,75054,50,183,3,2,1
"1674",1674,73946,50,179,4,2,1
"1675",1675,73060,51,169,4,0,1
"1676",1676,71954,51,162,4,0,1
"1677",1677,70846,51,157,4,2,1
"1678",1678,69960,51,156,3,2,1
"1679",1679,68632,51,151,3,0,1
"1680",1680,67303,51,149,3,0,1
"1681",1681,65754,52,148,3,0,1
"1682",1682,64867,52,147,3,0,1
"1683",1683,62210,52,140,3,2,1
"1684",1684,62432,52,144,3,2,1
"1685",1685,60881,52,143,3,0,1
"1687",1687,103399,37,250,1,0,1
"1688",1688,102734,38,250,7,0,1
"1689",1689,102069,54,250,6,1,1
"1690",1690,102069,38,239,1,0,1
"1691",1691,117350,38,237,1,1,1
"1692",1692,112921,38,236,1,0,1
"1693",1693,106277,39,235,5,1,1
"1694",1694,104063,39,232,5,1,1
"1695",1695,99191,39,231,5,0,1
"1696",1696,98306,39,230,5,1,1
"1697",1697,97863,39,231,5,1,1
"1698",1698,96755,40,231,5,0,1
"1699",1699,96091,40,236,5,1,1
"1700",1700,95869,40,234,4,0,1
"1701",1701,95426,40,231,4,1,1
"1719",1719,87455,40,174,5,0,1
"1720",1720,86126,40,173,5,0,1
"1721",1721,86126,40,173,5,0,1
"1722",1722,87455,54,173,4,0,1
"1723",1723,84576,54,172,4,0,1
"1724",1724,84576,41,171,4,0,1
"1725",1725,83025,41,169,4,0,1
"1726",1726,83025,41,168,4,0,1
"1727",1727,84133,42,168,4,0,1
"1728",1728,80147,42,168,3,0,1
"1729",1729,79704,42,168,3,0,1
"1730",1730,90776,42,168,3,0,1
"1731",1731,88562,43,164,3,0,1
"1732",1732,84133,43,161,3,0,1
"1733",1733,84133,43,157,3,0,1
"1735",1735,58446,50,101,3,2,1
"1736",1736,75276,50,101,3,1,1
"1737",1737,61989,50,99,3,1,1
"1738",1738,54016,50,96,4,0,1
"1739",1739,51359,50,92,4,1,1
"1740",1740,48924,50,89,4,1,1
"1741",1741,46488,51,86,4,1,1
"1742",1742,44716,51,84,4,1,1
"1743",1743,43166,51,83,4,0,1
"1744",1744,41394,51,81,4,1,1
"1745",1745,39623,51,76,4,0,1
"1746",1746,37851,51,75,3,0,1
"1747",1747,36301,51,74,4,0,1
"1748",1748,46488,51,74,4,1,1
"1749",1749,33201,51,72,3,1,1
"1751",1751,41173,48,156,2,0,1
"1752",1752,40287,48,154,2,1,1
"1753",1753,39180,49,152,2,14,2
"1754",1754,38294,49,151,2,1,1
"1755",1755,37629,49,150,2,13,1
"1756",1756,36744,49,148,2,1,1
"1757",1757,53130,49,147,2,0,1
"1758",1758,44273,55,146,2,1,1
"1759",1759,32758,50,144,2,1,1
"1760",1760,31429,50,143,2,11,1
"1761",1761,29880,50,139,2,11,1
"1762",1762,28993,50,134,2,11,1
"1763",1763,28107,50,129,1,1,1
"1764",1764,27443,50,133,2,10,1
"1765",1765,26779,50,128,1,0,1
"1768",1768,103177,53,245,6,0,1
"1769",1769,102956,54,243,5,0,1
"1770",1770,102513,38,244,5,0,1
"1771",1771,102069,38,244,5,0,1
"1772",1772,101848,38,242,5,0,1
"1773",1773,119564,38,242,5,0,1
"1774",1774,112921,39,244,5,0,1
"1775",1775,110707,39,244,5,0,1
"1776",1776,108491,39,243,5,0,1
"1777",1777,101848,39,244,5,0,1
"1778",1778,99191,39,243,5,0,1
"1779",1779,98306,39,238,6,0,1
"1780",1780,97198,40,238,5,0,1
"1781",1781,96977,40,243,5,0,1
"1782",1782,96312,40,238,5,0,1
"1800",1800,69075,48,130,1,15,2
"1801",1801,68632,48,129,1,15,2
"1802",1802,67968,49,128,1,14,2
"1803",1803,67525,49,127,2,14,2
"1804",1804,66639,49,127,2,0,1
"1805",1805,65975,49,125,2,0,1
"1806",1806,65532,55,125,2,1,1
"1807",1807,65089,55,118,2,1,1
"1808",1808,64646,50,115,2,1,1
"1809",1809,61767,50,111,2,1,1
"1810",1810,63538,50,105,1,0,1
"1811",1811,63095,50,105,1,0,1
"1812",1812,62432,50,104,1,12,1
"1813",1813,61989,50,103,1,1,1
"1814",1814,61546,51,101,1,11,1
"1817",1817,94320,39,191,5,0,1
"1818",1818,94098,39,190,5,0,1
"1819",1819,93434,39,188,4,0,1
"1820",1820,93655,39,190,4,0,1
"1821",1821,91884,40,188,5,0,1
"1822",1822,92547,40,188,4,0,1
"1823",1823,91884,40,188,4,0,1
"1824",1824,91662,40,190,4,0,1
"1825",1825,91219,41,190,4,0,1
"1826",1826,90333,54,190,4,0,1
"1827",1827,90333,41,188,5,0,1
"1828",1828,89669,41,188,4,0,1
"1829",1829,90112,41,186,5,0,1
"1830",1830,89669,42,184,4,0,1
"1831",1831,90112,42,180,4,0,1
"1833",1833,61324,41,156,2,1,1
"1834",1834,60660,42,156,3,1,1
"1835",1835,60217,42,155,2,0,1
"1836",1836,59774,42,155,3,1,1
"1837",1837,59332,42,151,2,0,1
"1838",1838,58889,43,147,2,1,1
